Year,index_nsa,"City, State",Population,Violent Crimes,Homicides,Rapes,Assaults,Robberies
1981,54.4825,"Baltimore, MD",797429,17737,228,565,6229,10715
,,,,,,,,
1981,41.81,"Boston, MA",566679,14071,100,531,4192,9248
,,,,,,,,
1981,51.85,"Buffalo, NY",359167,3341,25,229,1353,1734
,,,,,,,,
1981,55.9475,"Charlotte, NC",316503,3166,51,198,2143,774
,,,,,,,,
1981,49.7375,"Chicago, IL",3012703,25609,877,1255,7359,16118
,,,,,,,,
1981,60.0075,"Cincinnati, OH",383441,3892,43,289,1804,1756
,,,,,,,,
1981,57.9,"Cleveland, OH",573145,12429,233,621,3754,7821
,,,,,,,,
1981,57.8025,"Columbus, OH",562896,5263,91,396,1420,3356
,,,,,,,,
1981,84.4575,"Dallas, TX",937273,12749,298,1121,5928,5402
,,,,,,,,
1981,63.8525,"Aurora, CO",162900,1437,10,76,992,359
,,,,,,,,
1981,63.8525,"Denver, CO",503695,5085,100,471,2111,2403
,,,,,,,,
1981,60.05,"Detroit, MI",1193805,23176,502,1229,6648,14797
,,,,,,,,
1981,85.205,"Arlington, TX",167848,699,12,102,373,212
,,,,,,,,
1981,76.075,"Fresno, CA",221129,2158,33,155,868,1102
,,,,,,,,
1981,31.6075,"Honolulu, HI",773331,1965,40,265,340,1320
,,,,,,,,
1981,95.92,"Houston, TX",1621897,10274,497,967,1917,6893
,,,,,,,,
1981,61.42,"Indianapolis, IN",461820,4539,65,400,1880,2194
,,,,,,,,
1981,64.1775,"Jacksonville, FL",575157,5634,89,410,2795,2340
,,,,,,,,
1981,56.365,"Louisville, KY",,,,,,
,,,,,,,,
1981,65.2575,"Memphis, TN",654096,7056,133,760,2071,4092
,,,,,,,,
1981,63.9625,"Miami, FL",356734,11211,210,382,4423,6196
,,,,,,,,
1981,57.5925,"Milwaukee, WI",641715,3424,71,290,1257,1806
,,,,,,,,
1981,62.525,"Minneapolis, MN",372784,3883,28,367,1192,2296
,,,,,,,,
1981,56.365,"Nashville, TN",458430,3087,79,363,1051,1594
,,,,,,,,
1981,44.185,"Newark, NJ",332746,12320,161,598,3783,7778
,,,,,,,,
1981,54.5675,"Oakland, CA",347736,7036,118,430,2652,3836
,,,,,,,,
1981,64.5275,"Omaha, NE",322883,1583,28,186,470,899
,,,,,,,,
1981,65.9875,"Orlando, FL",135812,2373,25,154,1309,885
,,,,,,,,
1981,48.805,"Philadelphia, PA",1686834,17616,362,936,5502,10816
,,,,,,,,
1981,75.2275,"Mesa, AZ",153941,741,1,51,546,143
,,,,,,,,
1981,75.2275,"Phoenix, AZ",794983,6319,96,408,3119,2696
,,,,,,,,
1981,57.0875,"Pittsburgh, PA",425632,5983,49,213,1433,4288
,,,,,,,,
1981,49.875,"Portland, OR",369518,6452,38,403,2939,3072
,,,,,,,,
1981,53.845,"Raleigh, NC",151155,719,11,56,364,288
,,,,,,,,
1981,60.7075,"Sacramento, CA",281854,3535,53,228,1421,1833
,,,,,,,,
1981,48.3575,"Seattle, WA",503697,5414,59,485,2526,2344
,,,,,,,,
1981,64.955,"Tampa, FL",285530,5674,69,409,2882,2314
,,,,,,,,
1981,65.5175,"Tucson, AZ",340985,2810,28,163,1747,872
,,,,,,,,
1981,86.7275,"Tulsa, OK",367234,2678,47,247,1435,949
,,,,,,,,
1981,52.41,"Washington, DC",636000,14468,223,414,3432,10399
,,,,,,,,
1981,77.0075,"Wichita, KS",282465,1729,43,202,668,816
,,,,,,,,
1982,59.865,"Albuquerque, NM",344962,2659,26,199,1508,926
,,,,,,,,
1982,64.9325,"Atlanta, GA",441103,10486,152,613,5722,3999
,,,,,,,,
1982,72.29,"Austin, TX",370331,1532,57,235,605,635
,,,,,,,,
1982,54.54,"Baltimore, MD",798175,16683,227,550,6559,9347
,,,,,,,,
1982,43.7,"Boston, MA",567758,10970,93,366,3980,6531
,,,,,,,,
1982,51.6925,"Buffalo, NY",360493,3557,42,247,1615,1653
,,,,,,,,
1982,58.6275,"Charlotte, NC",320119,4100,48,198,2864,990
,,,,,,,,
1982,48.255,"Chicago, IL",3010862,26404,668,1112,8317,16307
,,,,,,,,
1982,60.06,"Cincinnati, OH",383975,3757,52,285,1831,1589
,,,,,,,,
1982,55.905,"Cleveland, OH",573944,9386,195,628,3267,5296
,,,,,,,,
1982,59.0575,"Columbus, OH",563680,4590,92,332,1659,2507
,,,,,,,,
1982,89.165,"Dallas, TX",970624,13053,306,1105,5947,5695
,,,,,,,,
1982,70.02,"Aurora, CO",167408,1406,10,76,967,353
,,,,,,,,
1982,70.02,"Denver, CO",517638,4935,68,516,1965,2386
,,,,,,,,
1982,56.23,"Detroit, MI",1181868,23746,513,1167,6029,16037
,,,,,,,,
1982,88.115,"Arlington, TX",173821,607,7,67,342,191
,,,,,,,,
1982,79.0775,"Fresno, CA",226300,2182,33,155,782,1212
,,,,,,,,
1982,37.24,"Honolulu, HI",785181,2151,25,269,400,1457
,,,,,,,,
1982,106.8925,"Houston, TX",1679607,17801,678,1270,3461,12392
,,,,,,,,
1982,59.8075,"Indianapolis, IN",462657,4341,69,387,1892,1993
,,,,,,,,
1982,71.39,"Jacksonville, FL",590957,5643,83,422,2986,2152
,,,,,,,,
